index,Item Type,Serving Size,Calories,fat,Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),carbs,Dietary Fiber (g),Total Sugars (g),Added Sugars (g),protein,Vitamin D (mcg),Potassium (mg),Calcium (mg),Iron (mg),Table Type,as_of,Drink Type,oz_int,Total Fat_calories,Total Carb_calories,Protein_calories,calc_cals,Total Fat_pct,Total Carb_pct,Protein_pct,cals_match
8,Iced Macchiato with Whole Milk - Medium,24 oz.,120.0,6.0,3.5,0.0,20.0,105.0,10.0,0.0,9.0,0.0,6.0,2.0,356.0,220.0,0.0,Iced Macchiato,12-15-2022,iced,24,54.0,40.0,24.0,118.0,45.76,33.9,20.34,True
9,Iced Macchiato with Whole Milk - Small,16 oz.,80.0,4.0,2.5,0.0,10.0,70.0,7.0,0.0,6.0,0.0,4.0,2.0,256.0,147.0,0.0,Iced Macchiato,12-15-2022,iced,16,36.0,28.0,16.0,80.0,45.0,35.0,20.0,True
10,Iced Macchiato with Whole Milk and Sugar - Large,32 oz.,290.0,8.0,4.5,0.0,25.0,140.0,49.0,0.0,46.0,35.0,8.0,3.0,466.0,294.0,0.0,Iced Macchiato,12-15-2022,iced,32,72.0,196.0,32.0,300.0,24.0,65.33,10.67,True
11,Iced Macchiato with Whole Milk and Sugar - Small,16 oz.,150.0,4.0,2.5,0.0,10.0,70.0,25.0,0.0,23.0,17.0,4.0,2.0,256.0,148.0,0.0,Iced Macchiato,12-15-2022,iced,16,36.0,100.0,16.0,152.0,23.68,65.79,10.53,True
12,Iced Macchiato with Whole Milk and Sugar- Medium,24 oz.,220.0,6.0,3.5,0.0,20.0,105.0,37.0,0.0,35.0,26.0,6.0,2.0,356.0,220.0,0.0,Iced Macchiato,12-15-2022,iced,24,54.0,148.0,24.0,226.0,23.89,65.49,10.62,True
13,Mocha Swirl Iced Macchiato with Skim Milk - Large,32 oz.,300.0,1.0,0.5,0.0,5.0,160.0,65.0,2.0,58.0,46.0,10.0,3.0,876.0,327.0,2.0,Iced Macchiato,12-15-2022,iced,32,9.0,260.0,40.0,309.0,2.91,84.14,12.94,True
14,Mocha Swirl Iced Macchiato with Skim Milk - Medium,24 oz.,230.0,1.0,0.5,0.0,5.0,125.0,49.0,2.0,43.0,34.0,7.0,2.0,664.0,245.0,2.0,Iced Macchiato,12-15-2022,iced,24,9.0,196.0,28.0,233.0,3.86,84.12,12.02,True
15,Mocha Swirl Iced Macchiato with Skim Milk - Small,16 oz.,150.0,0.5,0.0,0.0,0.0,85.0,33.0,1.0,29.0,23.0,5.0,1.0,461.0,164.0,1.0,Iced Macchiato,12-15-2022,iced,16,4.5,132.0,20.0,156.5,2.88,84.35,12.78,True
16,Mocha Swirl Iced Macchiato with Whole Milk - Large,32 oz.,370.0,9.0,5.0,0.0,25.0,170.0,64.0,2.0,57.0,46.0,9.0,3.0,816.0,305.0,2.0,Iced Macchiato,12-15-2022,iced,32,81.0,256.0,36.0,373.0,21.72,68.63,9.65,True
17,Mocha Swirl Iced Macchiato with Whole Milk - Medium,24 oz.,280.0,7.0,4.0,0.0,20.0,125.0,48.0,2.0,43.0,34.0,7.0,2.0,619.0,228.0,2.0,Iced Macchiato,12-15-2022,iced,24,63.0,192.0,28.0,283.0,22.26,67.84,9.89,True
